payment_id,order_id,payment_date,amount,payment_method
1,2824,1/13/2025,3710.34,Debit Card
2,4657,3/13/2025,3684.99,Mobile Money
3,2424,10/30/2025,2115.39,Credit Card
4,2535,4/22/2025,1170.98,Mobile Money
5,1434,10/15/2025,1002.2,Mobile Money
6,7873,4/23/2025,2251.55,PayPal
7,1106,3/23/2025,3493.72,PayPal
8,5552,3/21/2025,1084.42,PayPal
9,2674,2/17/2025,1905.84,PayPal
10,6635,11/6/2025,1329.96,Credit Card
11,8527,10/2/2025,632.88,Bank Transfer
12,2291,10/10/2025,1472.96,Mobile Money
13,6925,10/23/2025,969.52,Credit Card
14,1750,12/5/2025,1147.21,PayPal
15,2307,4/30/2025,4333.75,Bank Transfer
16,5554,8/21/2025,3182.07,PayPal
17,3664,7/9/2025,1782.8,PayPal
18,2169,11/8/2025,3178.54,Mobile Money
19,5010,3/25/2025,2316.68,PayPal
20,4598,12/17/2025,1628.17,Credit Card
21,4752,1/17/2025,4027.18,Bank Transfer
22,5386,2/3/2025,1062.8,Mobile Money
23,6155,4/19/2025,3280.64,Bank Transfer
24,8517,3/15/2025,1331.75,Debit Card
25,9830,5/15/2025,3737.6,Bank Transfer
26,7543,7/5/2025,1104.41,Debit Card
27,9348,9/10/2025,463.64,Credit Card
28,2796,3/20/2025,3140.96,Bank Transfer
29,2040,7/17/2025,1914.28,Bank Transfer
30,9669,5/9/2025,4855.68,Credit Card
31,2876,12/16/2025,4425.09,PayPal
32,6573,2/27/2025,1474.57,Debit Card
33,8433,1/2/2025,4769.54,PayPal
34,9201,4/2/2025,2543.33,Credit Card
35,5889,11/24/2025,2543.24,Debit Card
36,3504,7/11/2025,3814.93,Mobile Money
37,9689,1/1/2025,2998.73,Bank Transfer
38,1319,2/27/2025,4646.2,PayPal
39,4923,1/30/2025,1211.95,Mobile Money
40,2290,2/13/2025,3662.22,Credit Card
41,9727,3/6/2025,650.67,Bank Transfer
42,3705,5/16/2025,2643.09,Mobile Money
43,7932,4/19/2025,4645.28,Debit Card
44,6107,7/24/2025,4975.8,PayPal
45,8177,9/22/2025,2262.92,Debit Card
46,4681,2/2/2025,1697.05,Mobile Money
47,4770,10/29/2025,1108.88,Credit Card
48,1964,4/28/2025,346.33,Credit Card
49,6413,2/6/2025,2575.64,PayPal
50,8953,4/20/2025,2700.78,Mobile Money
51,8744,5/5/2025,3925.25,Bank Transfer
52,4119,2/18/2025,493.68,Bank Transfer
53,6804,8/5/2025,2061.4,Credit Card
54,2612,2/1/2025,2019.08,PayPal
55,2790,5/8/2025,966.03,Mobile Money
56,8350,3/13/2025,2115.19,PayPal
57,8579,5/8/2025,4373.68,Credit Card
58,8260,10/9/2025,498.56,Mobile Money
59,1241,2/17/2025,4632.57,Debit Card
60,3724,7/28/2025,2433.35,Debit Card
61,7570,1/31/2025,831.54,Credit Card
62,7396,5/16/2025,4633.33,Bank Transfer
63,5673,8/5/2025,3485.99,Mobile Money
64,8973,3/21/2025,957.59,Debit Card
65,1958,10/24/2025,3681.33,Credit Card
66,6138,1/30/2025,260.21,Bank Transfer
67,9238,9/29/2025,795.59,Mobile Money
68,2312,4/6/2025,351.92,Credit Card
